Emails Report

Partner, Contacts, Sent, Delivered, Failed, Failed %, Unsub, Unsub %, Opened, Opened %, Clicks, Clicks %, Regos 
"Total","0","0","0","0","0%","0","0%","0","0%","0","0%","0",


SUMMARY FOR EMAILS

Email ID, Email Name, Contacts, Sent, Delivered, Failed, Failed %, Unsub, Unsub %, Opened, Opened %, Clicks, Clicks %, Regos 
"Total","","0","0","0","0","0%","0","0%","0","0%","0","0%","0",


PARTNER DRILL DOWN

Dynamic Resellers Inc 

Email ID, Email Name, Contacts, Sent, Delivered, Failed, Failed %, Unsub, Unsub %, Opened, Opened %, Clicks, Clicks %, Regos 
"Total","","0","0","0","0","0%","0","0%","0","0%","0","0%","0",

